 -> .bcs
 -> .bimage7
 -> .bprobe
 -> .dat
 -> .decl
.playerstatisticsmanager -> .decl
.pliers -> .decl
.ply -> .decl
.png -> .bimage7
.pontoon -> .decl
.probesnetwork -> .probesnetwork
.procedurallookat -> .decl
.railroad -> .decl
.ratlocomotion -> .decl
.rats -> .decl
.razor -> .decl
.rbsimple -> .decl
.rbsimplemoff -> .decl
.rbweapon -> .decl
.regular -> .decl
.rock -> .decl
.roof -> .decl
.rooftile -> .decl
.rulehandler -> .decl
.safedoor -> .decl
.safelock -> .decl
.sand -> .decl
.scalpel -> .decl
.screwdriver -> .decl
.scrimshaw -> .decl
.shallow -> .decl
.shovel -> .decl
.skewer -> .decl
.skin -> .decl
.slate -> .decl
.sleep -> .decl
.small -> .decl
.snuffbox -> .decl
.soundengineinternals -> .decl
.soundevent -> .decl
.soundpropa -> .soundpropa
.squealer -> .decl
.stairs -> .decl
.stamp -> .decl
.sticky -> .decl
.sting -> .decl
.stone -> .decl
.stridformating -> .decl
.support -> .decl
.swarmglobalconfig -> .decl
.sword -> .decl
.teapot -> .decl
.tga -> .bimage7
.tga -> .decl
.tga$nomips -> .bimage7
.tga$uncompressed -> .bimage7
.throwingknife -> .decl
.tile -> .decl
.timber -> .decl
.tome -> .tome
.tool -> .decl
.trashbin -> .decl
.tray -> .decl
.trowel -> .decl
.tubeholder -> .decl
.turnbuckle -> .decl
.tutorial -> .decl
.uihudelementawareness -> .decl
.uihudelementcrosshair -> .decl
.uihudelementdamagefeedback -> .decl
.uihudelementdiscoverylocation -> .decl
.uihudelementequipment -> .decl
.uihudelementgauge -> .decl
.uihudelementgrenade -> .decl
.uihudelementhealth -> .decl
.uihudelementinformationmessage -> .decl
.uihudelementinteractives -> .decl
.uihudelementkeyhole -> .decl
.uihudelementmana -> .decl
.uihudelementnotificationwindow -> .decl
.uihudelementobjectives -> .decl
.uihudelementoxygen -> .decl
.uihudelementreflex -> .decl
.uihudelementshortcuts -> .decl
.uihudelementstatusinformation -> .decl
.uihudelementtutorialmessage -> .decl
.uipausestatisticentry -> .decl
.urn -> .decl
.venom -> .decl
.vine -> .decl
.wagon -> .decl
.wall -> .decl
.water -> .decl
.wet -> .decl
.wheel -> .decl
.winturbine -> .decl
.wob -> .decl
.wolfhound -> .decl
.wood -> .decl
.wrench -> .decl
